query,domain,question_type,ground_truth,prediction
which player has the most career assists in the nba among players who have never been named to an all-star game?,sports,simple_w_condition,"andre miller has the most career assists in the nba among players who have never been named to an all-star game, with 8,524 assists.","the player with the most career assists in the nba among players who have never been named to an all-star game is andre miller with 8,524 assists. he played for the cleveland cavaliers, denver nuggets, and washington wizards during his 16-year career. miller was a reliable point guard who consist"
what are the names of kris jenner's children?,open,set,"kourtney kardashian barker, kim kardashian, khloé kardashian, rob kardashian, kendall jenner, and kylie jenner","kris jenner has six children, five daughters and one son, from two marriages. her children are:
         1. kourtney kardashian (from her marriage to robert kardashian)
         2. kim kardashian west (from her marriage to robert kardashian)
         3. khloe"
what is the largest animal found in europe?,open,simple_w_condition,the largest animal found in europe is the european bison.,"the largest animal found in europe is the european bison, which can weigh up to 2200 pounds and reach a height of 6 feet. however, it's worth noting that the largest animal found in europe is actually a domestic cattle, which can weigh up to 3000 pounds and reach a height of 6 feet"
what's the date of after 7's last song/album?,music,simple,1997-03-11,"i couldn't find any information about after 7's last song/album release date. the group was active from 1987 to 1996, and their last studio album was ""timeless"" released in 1996. if you're looking for information on their discography, i can help you with that."
what's the name of the movie that received the oscar for the best documentary feature film in 1995?,movie,simple,maya lin: a strong clear vision,"the movie that received the oscar for the best documentary feature film in 1995 is ""anne frank remembered"". it was directed by barbara kopple and won the academy award for best documentary feature at the 67th academy awards in 1995."
"which movie won the academy award for best picture in 2018, categorized under the fantasy genre?",movie,simple_w_condition,the shape of water,"the movie ""the shape of water"" won the academy award for best picture in 2018, categorized under the fantasy genre. it was directed by guillermo del toro and starred sally hawkins, michael shannon, richard jenkins, and michael stuhlbarg. the film tells the story of a mute janitor"
when did one for all start performing together?,music,simple,1993,"one direction started performing together in 2010, when they were formed on the british reality tv show ""the x factor"". they finished in third place on the show, but went on to achieve massive success and become one of the most popular boy bands of all time. their debut album ""up all night"" was released in 2011"
how many points did darius miles get for free throws in the game on 2000-11-02?,sports,aggregation,5,"the answer is not available in the provided references. the references only provide information about darius miles' career, but not about his performance in a specific game on 2000-11-02. the references do not provide information about free throws, so it is not possible to determine how many points darius miles got for free throws in"
what are the top 3 tech stocks that rise in value in january 2024,finance,set,"top 3 tech stocks that rise in value in january 2024 are nvidia, oracle and netflix","based on the analysis, the top 3 tech stocks that rise in value in january 2024 are:
         1. alphabet (goog, googl) - with a one-year return of 261.50%, alphabet is the top performer in the nasdaq 100 index"
"which musical tempos are people streaming the most, hip-hop or country songs?",music,comparison,hip-hop,"hip-hop songs in the 140-149 bpm range were streamed the most, with an average of 17.35m streams each. hip-hop was overwhelmingly overrepresented in the most-streamed tempo range (67.6%). latin music, which represented"
